Domain,Field,Value,Hint,SortOrder,Enabled
day_plan,Bias,Bullish,Bias favors long-side opportunities unless invalidated.,1,True
day_plan,Bias,Bearish,Bias favors short-side opportunities unless invalidated.,2,True
day_plan,Bias,Neutral,No strong directional bias; react to structure.,3,True
day_plan,ExpectedDayType,Trend day,Sustained directional behavior with limited deep pullbacks.,1,True
day_plan,ExpectedDayType,TR day,Two-sided rotation dominates most of the session.,2,True
day_plan,ExpectedDayType,Trend from open,Direction establishes early and stays dominant.,3,True
day_plan,ExpectedDayType,Spike and channel,Initial spike transitions into a channel structure.,4,True
day_plan,ExpectedDayType,Double distribution,Two balance areas form with transition between them.,5,True
trade,Context,TTR,"Tight Trading Range; many overlapping bars in a small range, showing balance and low urgency.",1,True
trade,Context,TR,Trading Range; two-sided rotation between support and resistance with frequent reversals and failed breakouts.,2,True
trade,Context,Stair Channel,"Trend that advances in steps—impulse, pause, shallow pullback, then continuation.",3,True
trade,Context,Gap Channel,"Strong channel where pullbacks stay separated from the moving average or prior breakout area, showing persistent pressure.",4,True
trade,Context,Strong Trend,"Directional market with strong closes, shallow pullbacks, and repeated continuation pressure.",5,True
trade,Phase,Open,Initial part of the session when the market tests key levels and quickly reveals balance or directional intent.,1,True
trade,Phase,Middle,"Main body of the session after the open, where the market either continues, forms a range, or transitions.",2,True
trade,Phase,End,Final part of the session when closing flows increase and price is often drawn toward key magnets or day extremes.,3,True
trade,Setup,Wedge,"Three pushes in the same direction with weakening momentum, often leading to a pullback or reversal.",1,True
trade,Setup,DB/DT,Double Bottom/Top; a second test of a prior extreme that can lead to reversal or range continuation.,2,True
trade,Setup,Big Surprise Bar w/ Follow-through,"An unusually large breakout bar followed by confirming bars, showing a sudden and sustained imbalance.",3,True
trade,Setup,Big Surprise Bar w/o Follow-through,"A large breakout bar that is not confirmed by the next bars, often signaling exhaustion or a trap.",4,True
trade,Setup,Climax,"Accelerated move with one or more unusually strong late bars, often followed by profit-taking, pause, or reversal.",5,True
trade,Setup,Final Flag,Small pause late in a mature trend that can produce one last breakout before the trend ends.,6,True
trade,Setup,2nd Leg,The second swing in a pullback or trend resumption after the first leg and intervening pause or pullback.,7,True
trade,Setup,BO + Follow-through,"Breakout that is confirmed by immediate continuation, increasing the odds the move is genuine.",8,True
trade,Setup,BO + PB + 2nd Entry,"Breakout, pullback test, then a second-entry signal in the breakout direction.",9,True
trade,Setup,ii/iii/ioi,Inside-bar breakout-mode patterns showing contraction and the potential for expansion in either direction.,10,True
trade,Setup,Expanding Triangle,"Broadening formation with higher highs and lower lows, reflecting growing volatility and two-sided disagreement.",11,True
trade,Setup,Converging Triangle,"Contracting range with lower highs and higher lows, reflecting compression before a breakout attempt.",12,True
trade,Setup,TBTL,"Ten Bars, Two Legs correction; a deeper pullback that typically unfolds over about 10 bars and at least two legs.",13,True
trade,Setup,20 Bars Rule,"After about 20 or more sideways bars, the market is close to neutral and breakout odds become more balanced.",14,True
trade,Setup,HH/HL Major Trend Reversal,Reversal structure where a prior trend gives way to a new trend through a higher high/higher low or lower low/lower high sequence.,15,True
trade,Setup,HH/HL Minor TR,Small structural reversal that changes the immediate swing but usually stays within a broader trading range rather than starting a strong new trend.,16,True
trade,Setup,Round Number,"Psychologically important price level ending in a clean increment that often acts as support, resistance, or a magnet.",17,True
trade,Setup,50% Pullback,"Retracement of roughly half of a prior swing, often watched as a common support or resistance test.",18,True
trade,SignalBar,Close at High,"Signal bar closing near its high, showing buying pressure and bullish intent.",1,True
trade,SignalBar,Close at Middle,"Signal bar closing near its midpoint, showing balanced pressure and weaker directional conviction.",2,True
trade,SignalBar,Close at Low,"Signal bar closing near its low, showing selling pressure and bearish intent.",3,True
trade,SignalBar,Long Tail (Reversal),"Bar with a prominent tail rejecting a price area, often used as reversal evidence when context supports it.",4,True
trade,SignalBar,No Tail (Breakout),"Bar closing on or near its extreme with little opposite-side wick, showing urgency and breakout strength.",5,True
trade,SignalBar,Doji,"Small-bodied bar showing indecision and balance, usually needing stronger context or confirmation.",6,True
trade,TradeIntent,Scalp,Short hold and quick target logic.,1,True
trade,TradeIntent,Swing,Hold through larger structure with wider thesis.,2,True
trade,TradeIntent,Scale-in,Plan to add size only on predefined confirmation.,3,True
